uri,artist,name,popularity,release_date,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:2N5zMZX7YeL1tico8oQxa9,Gnarls Barkley,Crazy,71,2006-05-02,2019-06-17 17:41:38+00:00,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4
spotify:track:44AyOl4qVkzS48vBsbNXaC,Elvis Presley,Can't Help Falling in Love,78,1961-10-20,2019-06-17 17:41:48+00:00,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,182360,3
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,...Baby One More Time,75,1999-01-12,2019-06-17 17:42:05+00:00,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,4
spotify:track:5b7OgznPJJr1vHNYGyvxau,Frank Sinatra,Fly Me To The Moon (In Other Words),76,1962-12-10,2019-06-17 17:42:14+00:00,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,147000,4
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,Nat King Cole,L-O-V-E,68,1992-01-01,2019-06-17 17:42:29+00:00,0.425,0.373,4,-7.543,1,0.0797,0.679,0.0,0.077,0.663,78.225,155307,4
spotify:track:0lnfcWRREvnGtXPP2ZDeq7,Wax Tailor,Que Sera,61,2005-02-22,2019-06-17 17:42:36+00:00,0.714,0.721,9,-5.049,1,0.0805,0.273,0.24,0.174,0.419,82.925,164093,4
spotify:track:23DZLSxCK6kM8FF2RlzKDl,Linda Ronstadt,You're No Good,59,1974-01-28,2019-06-17 17:42:50+00:00,0.669,0.52,8,-10.136,1,0.0345,0.245,0.00535,0.126,0.634,104.812,224027,4
spotify:track:2jRGYG8U5bJzWOH6FLuzvO,Kygo,It Ain't Me (with Selena Gomez) - Tiësto's AFTR:HRS Remix,50,2017-04-07,2019-06-17 17:43:07+00:00,0.713,0.658,0,-5.362,1,0.0748,0.0161,0.000138,0.0607,0.539,115.024,192000,4
spotify:track:3ZffCQKLFLUvYM59XKLbVm,Green Day,Wake Me up When September Ends,76,2004-09-21,2019-06-17 17:45:05+00:00,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,285653,4
spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,87,2018-10-05,2019-06-17 17:45:20+00:00,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4
spotify:track:1IlBPaXuM7Fl6tiH9CPQlQ,Emily King,Distance,55,2015-06-26,2019-06-17 17:45:30+00:00,0.712,0.217,7,-12.944,1,0.0813,0.846,5.61e-05,0.265,0.468,136.986,231448,4
spotify:track:6wycnu8FWXsj68ig7BEot9,Keith Urban,Blue Ain't Your Color,69,2016-05-06,2019-06-17 17:45:36+00:00,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600,3
spotify:track:3SktMqZmo3M9zbB7oKMIF7,John Mayer,Gravity,74,2006-09-11,2019-06-17 17:45:44+00:00,0.764,0.326,7,-9.883,1,0.0342,0.731,0.0013,0.24,0.237,123.98,245827,3
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer (feat. Halsey),85,2016-07-29,2019-06-17 17:45:52+00:00,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
spotify:track:1DunhgeZSEgWiIYbHqXl0c,Disclosure,Latch,69,2014-01-01,2019-06-17 17:46:17+00:00,0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986,255867,4
spotify:track:4pNiE4LCVV74vfIBaUHm1b,Stevie Wonder,Sir Duke,71,1976-09-28,2019-06-17 17:46:26+00:00,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,232760,4
spotify:track:7Cuk8jsPPoNYQWXK9XRFvG,"Earth, Wind & Fire",September,81,2018-04-17,2019-06-17 17:46:55+00:00,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,215080,4
spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,74,2012-01-01,2019-06-17 17:47:21+00:00,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
spotify:track:4VPpZXXeZHfpzvHNaPjLcF,Lianne La Havas,Green & Gold,48,2015-07-31,2019-06-17 17:47:33+00:00,0.7,0.4,7,-8.46,1,0.0465,0.212,0.000321,0.55,0.28,93.959,278200,4
spotify:track:5z161QQZMgQxSILnv3QoJk,Sarah Vaughan,Lullaby Of Birdland,46,1954-12-01,2019-06-17 17:47:45+00:00,0.578,0.351,11,-12.432,0,0.101,0.813,0.0,0.123,0.476,122.712,240867,4
spotify:track:4Mdo6FZj42vID4oDi6P4ZW,Stan Getz,Misty,48,1996-08-07,2019-06-17 17:47:59+00:00,0.328,0.0421,6,-22.933,1,0.0426,0.993,0.525,0.0964,0.179,52.793,323227,4
spotify:track:3eMfftdPSD4PI1cux5w97b,Paul Desmond,Autumn Leaves,48,1972-01-28,2019-06-17 17:51:37+00:00,0.34,0.359,5,-20.131,0,0.0504,0.789,0.367,0.0943,0.599,187.139,422667,4
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,Etta James,At Last,74,1960-01-28,2019-06-17 17:51:46+00:00,0.273,0.347,5,-8.631,1,0.0292,0.546,0.0137,0.334,0.328,87.411,179693,3
spotify:track:62LJFaYihsdVrrkgUOJC05,Prince,Kiss,73,1986-03-31,2019-06-17 17:51:55+00:00,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240,4
spotify:track:5uQkJU8FDt9srkxKfKRiBN,Lester Young,There Will Never Be Another You,45,1997-01-01,2019-06-17 17:52:05+00:00,0.567,0.0341,0,-17.895,0,0.0525,0.989,0.326,0.0878,0.391,82.881,208469,4
spotify:track:5Fpbw9DCdROeT1JtJWi7lR,Chet Baker,I've Never Been In Love Before - Vocal Version,48,1956-01-28,2019-06-17 17:52:25+00:00,0.425,0.0199,10,-21.988,1,0.0447,0.922,0.00014,0.102,0.181,60.888,269000,4
spotify:track:2gNjmvuQiEd2z9SqyYi8HH,Louis Armstrong,Summertime,65,1958-01-01,2019-06-17 17:52:56+00:00,0.172,0.0696,11,-21.295,0,0.0339,0.916,0.00199,0.137,0.103,167.974,298133,5
spotify:track:1UH4viviUjZnS9aWgPGrk0,Louis Armstrong,La vie en rose - Single Version,65,1989-01-01,2019-06-17 17:53:17+00:00,0.582,0.0766,0,-12.544,1,0.0603,0.866,0.00394,0.091,0.274,70.443,204400,4
spotify:track:2y8PnhXwnyHTxe72TtY58e,Röyksopp,Remind Me,48,2001-08-22,2019-04-23 18:01:11+00:00,0.865,0.384,10,-11.953,1,0.0577,0.024,0.434,0.0682,0.852,122.48,219560,4
spotify:track:7pbEKdMWHGwPQSDGfcNycM,Röyksopp,Eple,54,2001-08-22,2019-04-23 18:08:32+00:00,0.68,0.849,6,-5.295,1,0.0444,0.00746,0.0694,0.108,0.806,106.486,218320,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,85,2015-07-17,2019-04-23 18:09:29+00:00,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
spotify:track:2drEUEg0TYQR6dDEHkpuPE,Tame Impala,Patience,70,2019-03-22,2019-04-23 18:13:09+00:00,0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,292267,4
spotify:track:2aPTvyE09vUCRwVvj0I8WK,A$AP Rocky,Sundress,75,2018-11-20,2019-04-23 18:40:54+00:00,0.721,0.704,6,-6.364,1,0.0606,0.176,3.71e-06,0.143,0.735,125.004,158206,4
spotify:track:4S7YHmlWwfwArgd8LfSPud,A$AP Rocky,L$D,75,2015-05-26,2019-04-23 18:41:29+00:00,0.598,0.252,2,-15.086,1,0.0647,0.193,0.138,0.0992,0.0352,120.06,238307,4
spotify:track:3B8Tx2eKzZ1u6bPnozOL1h,RÜFÜS DU SOL,Treat You Better,63,2018-10-19,2019-04-23 18:43:25+00:00,0.599,0.539,8,-5.897,1,0.034,0.356,5.38e-06,0.102,0.188,121.947,273640,4
spotify:track:1alqVpvDH6ogtLQtsjHBKu,Cut Copy,Standing In The Middle Of The Field,50,2017-09-22,2019-04-30 00:00:05+00:00,0.71,0.839,0,-6.078,1,0.0426,0.453,0.0,0.247,0.716,115.008,331080,4
spotify:track:1sfTdlWfcFdI7NfmcfZPii,Leon Bridges,Forgive You,65,2018-05-04,2019-04-30 17:22:17+00:00,0.73,0.68,4,-4.886,0,0.0344,0.324,3.79e-06,0.121,0.452,109.576,221560,4
spotify:track:4YaNLEPw3MrIgkGOkBrAh2,ODESZA,Across The Room (feat. Leon Bridges),65,2017-09-08,2019-05-02 13:52:52+00:00,0.566,0.587,6,-5.96,1,0.0308,0.0155,2.05e-05,0.111,0.246,82.046,283538,4
spotify:track:74miq4ubMDpEZWtdEh8u9R,Møme,Sunday,57,2018-12-14,2019-05-06 20:23:16+00:00,0.817,0.576,4,-7.475,0,0.111,0.248,0.000274,0.0919,0.432,117.991,264979,4
